#Rg A
0.992371525 10.774691961668628
1.025162575 -4.127823336576748
1.0579536250000001 -7.410025884699786
1.090744675 -1.1231457464904933
1.123535725 6.6217801308801265
1.1563267750000001 9.462249380276672
1.1891178249999999 10.053761077165694
1.221908875 10.248441232890615
1.2546999250000002 10.623861079772926
1.2874909749999999 10.444103848509204
1.320282025 10.396506769976357
1.3530730750000002 9.834421918457316
1.385864125 9.605311436693187
1.418655175 9.264959202527638
1.4514462250000002 8.966218125391604
1.484237275 8.587644151935624
1.517028325 8.413017800506925
1.549819375 8.083584666662164
1.582610425 7.870927157827102
1.615401475 7.74782770370078
1.6481925249999998 7.593107315928404
1.680983575 7.335488033802328
1.713774625 7.13395508748909
1.7465656749999998 6.812321200958793
1.779356725 6.6481582515793125
1.8121477750000001 6.429304549473989
1.8449388249999998 6.037540340280407
1.877729875 5.852364526481264
1.910520925 5.624196217117289
1.9433119749999999 5.41342236763944
1.976103025 5.209638940025548
2.0088940749999997 5.016598404192504
2.041685125 4.872488958690137
2.074476175 4.708288039637116
2.107267225 4.591520967880714
2.140058275 4.462050432313592
2.1728493249999996 4.351759548267223
2.2056403749999998 4.241905339669449
2.238431425 4.162627933750367
2.271222475 4.040555170818983
2.304013525 4.023087306829642
2.336804575 4.032430460165241
2.3695956249999997 4.009444603615179
2.402386675 4.009444603615214
2.435177725 4.015017039700224
2.467968775 4.066979521566274
2.500759825 4.097832058166413
2.533550875 4.196640094896355
2.5663419249999997 4.323682229085717
2.599132975 4.418962698378691
2.631924025 4.510363553834583
2.6647150749999997 4.713962346899821
2.697506125 4.828014959280095
2.7302971749999996 5.130309477438187
2.7630882249999997 5.42140463263158
2.795879275 5.6978469437951
2.828670325 5.840435329128683
2.8614613749999998 6.303493152863923
2.894252425 6.690407625648457
2.9270434749999996 7.019949423297283
2.9598345249999998 7.501190208364101
2.992625575 7.894327399296747
3.025416625 8.413017800506891
3.058207675 9.090375605406958
3.090998725 9.653899146515558
3.1237897749999997 10.141043000931282
3.156580825 10.984419713057417
3.189371875 11.67364522246753
3.222162925 12.76428160843366
3.254953975 13.477589483650359
3.2877450249999995 14.20013820364027
3.3205360749999997 14.879131084396429
3.353327125 16.211013671447393
3.386118175 17.51342410671519
3.4189092249999997 19.311425712377943
3.451700275 20.095532621028433
3.4844913249999996 22.050792555695054
3.5172823749999997 21.745267130259567
3.550073425 24.59503225147141
3.582864475 25.646795767020492
