#RMSD A
0.033045325 14.244185519153827
0.075291975 -1.012847162259581
0.11753862499999998 -4.563061437685959
0.15978527499999998 -4.041754560073556
0.20203192499999997 -2.9720474918613085
0.24427857499999997 -1.2004317596876417
0.286525225 0.17712858055634143
0.32877187499999994 1.6390462026703767
0.371018525 4.122467913460885
0.41326517499999993 7.078688167610816
0.455511825 9.00850584919821
0.4977584749999999 10.012882174795866
0.540005125 11.210770604806614
0.582251775 12.209127010276177
0.6244984249999999 12.639372515242577
0.6667450749999999 12.734699651746709
0.708991725 12.626035889463283
0.751238375 12.741644684007852
0.7934850249999998 12.914160410162895
0.8357316749999999 13.171818495760872
0.877978325 13.012629412667057
0.920224975 13.043695269004115
0.9624716249999998 12.7555907821168
1.0047182749999999 12.254836880286373
1.046964925 11.845111941555748
1.089211575 11.203073364737254
1.1314582249999998 10.788430949652392
1.1737048749999999 10.479995857058187
1.215951525 9.91516488971523
1.258198175 9.214348207094394
1.3004448249999998 8.7156541110028
1.3426914749999999 8.385531862881031
1.384938125 7.98048717725999
1.427184775 7.658495179307858
1.4694314249999998 7.365959542290168
1.5116780749999998 7.155840841239442
1.553924725 6.81937343925461
1.596171375 6.593373261065419
1.6384180249999998 6.2935592740498745
1.6806646749999998 5.942627408078321
1.7229113249999999 5.6670002159170965
1.765157975 5.332132312267434
1.8074046249999998 5.135534270628423
1.8496512749999998 4.884633853767999
1.8918979249999999 4.701859330432681
1.934144575 4.54141293849613
1.9763912249999998 4.371480205993973
2.018637875 4.277173270598157
2.060884525 4.101989769558789
2.103131175 4.002195387845723
2.145377825 4.047346806209103
2.1876244750000002 4.029385320389392
2.229871125 4.025035051597455
2.272117775 4.022380141107522
2.314364425 4.147155762627858
2.356611075 4.220577274470168
2.398857725 4.343754584296058
2.441104375 4.545541583296791
2.483351025 4.771756144784819
2.525597675 4.994915141336793
2.567844325 5.313017939010179
2.610090975 5.707331272892302
2.652337625 6.045801397585752
2.694584275 6.4739725057369935
2.736830925 6.959228154366756
2.779077575 7.523874544349392
2.821324225 8.089245870188122
2.863570875 8.79948264537946
2.905817525 9.522999702633644
2.948064175 10.436738023014227
2.990310825 11.406861515315981
3.032557475 12.313130749235224
3.074804125 13.47631802915217
3.117050775 14.231803786814357
3.159297425 15.640552752689853
3.201544075 17.273802616337814
3.2437907249999998 19.194376693210565
3.286037375 20.083964403401524
3.328284025 22.708024797066326
3.370530675 23.054400956529776
