#LD1 A
-7.881533924999999 32.89149912206081
-7.613821775 inf
-7.346109625 inf
-7.078397475 inf
-6.810685325 32.89149912206081
-6.542973175 inf
-6.275261025 inf
-6.0075488749999995 inf
-5.739836725 inf
-5.472124575 inf
-5.204412424999999 inf
-4.936700275 inf
-4.668988124999999 inf
-4.401275974999999 inf
-4.1335638249999995 32.8914991220608
-3.8658516749999996 25.699492699409927
-3.5981395249999992 16.27654146923946
-3.3304273749999993 6.741583742549751
-3.0627152249999994 2.3328244769262
-2.7950030749999994 1.3895365594246605
-2.5272909249999995 1.8735886811275795
-2.259578774999999 2.551939495696464
-1.9918666249999992 3.2416833581082436
-1.7241544749999993 4.079478547723756
-1.456442324999999 5.090814566165498
-1.188730174999999 6.091082240917294
-0.9210180249999991 6.987805535689482
-0.6533058749999987 7.885874430483437
-0.3855937249999988 8.73414241974202
-0.1178815749999993 9.615570318236749
0.14983057500000108 10.506055046868305
0.41754272500000145 11.17016980970269
0.6852548750000009 11.916407899816294
0.9529670250000013 12.534654228255475
1.2206791750000017 13.027526996905635
1.4883913250000012 13.524343760519638
1.7561034750000015 13.993128271402261
2.023815625000002 14.227413459511475
2.2915277750000014 14.711660951905191
2.559239925000001 14.921635595027846
2.8269520750000012 15.076193280372964
3.0946642250000016 15.180847371895904
3.362376375000001 15.231933732021389
3.6300885250000015 15.18647420273571
3.897800675000002 14.64223750412081
4.165512825000001 14.196463436861277
4.433224975000002 13.812859498775255
4.700937125000002 13.023853687818807
4.9686492750000015 12.419700243852658
5.236361425000002 11.752442383681727
5.504073575000002 11.07724512748622
5.771785725000002 10.404246459196196
6.039497875000002 9.750216297247757
6.3072100250000025 9.147461655594798
6.574922175000002 8.657786063477845
6.842634325000002 8.244288259029782
7.110346475000003 7.853830050008071
7.378058625000002 7.574915196691297
7.645770775000002 7.373733853606871
7.913482925000001 7.224704752442938
8.181195075000002 7.225228125559485
8.448907225000003 7.312387156606877
8.716619375000002 7.48398754422691
8.984331525000002 7.794161869794179
9.252043675000003 8.221709218577281
9.519755825000003 8.755298596824748
9.787467975000002 9.333830807811024
10.055180125000003 10.0953557144044
10.322892275000003 10.981959682534715
10.590604425000002 11.898902527859127
10.858316575000003 12.944329629875774
11.126028725000003 14.177305535893968
11.393740875000002 15.53566836138994
11.661453025000004 16.882305266796017
11.929165175000003 18.302977679571022
12.196877325000003 19.775759302853075
12.464589475000004 21.55729121509264
12.732301625000003 23.455717026487648
13.000013775000003 24.994105343324264
13.267725925000002 27.843870464536067
