#Rg Ree A
0.992371525 0.38616668125000003 inf
0.992371525 0.5131200437500001 inf
0.992371525 0.64007340625 inf
0.992371525 0.7670267687500001 inf
0.992371525 0.89398013125 inf
0.992371525 1.0209334937499999 inf
0.992371525 1.14788685625 inf
0.992371525 1.27484021875 inf
0.992371525 1.4017935812500002 20.293013166483664
0.992371525 1.52874694375 17.91618432930552
0.992371525 1.65570030625 14.74175002049157
0.992371525 1.78265366875 11.792204597733416
0.992371525 1.9096070312500002 10.536580424778265
0.992371525 2.0365603937500003 12.458127665421536
0.992371525 2.16351375625 13.847244833946387
0.992371525 2.29046711875 13.447382903296232
0.992371525 2.41742048125 10.536580424778265
0.992371525 2.5443738437500003 8.942439476521576
0.992371525 2.67132720625 9.851379691970783
0.992371525 2.79828056875 17.916184329305526
0.992371525 2.92523393125 inf
0.992371525 3.0521872937500003 inf
0.992371525 3.17914065625 inf
0.992371525 3.30609401875 inf
0.992371525 3.43304738125 inf
0.992371525 3.5600007437500003 inf
0.992371525 3.68695410625 inf
0.992371525 3.81390746875 inf
0.992371525 3.94086083125 inf
0.992371525 4.067814193749999 inf
0.992371525 4.1947675562499995 inf
0.992371525 4.32172091875 inf
0.992371525 4.44867428125 inf
0.992371525 4.57562764375 inf
0.992371525 4.70258100625 inf
0.992371525 4.82953436875 inf
0.992371525 4.95648773125 inf
0.992371525 5.083441093749999 inf
0.992371525 5.2103944562499995 inf
0.992371525 5.33734781875 inf
0.992371525 5.46430118125 inf
0.992371525 5.59125454375 inf
0.992371525 5.71820790625 inf
0.992371525 5.845161268749999 inf
0.992371525 5.972114631249999 inf
0.992371525 6.099067993749999 inf
0.992371525 6.2260213562499995 inf
0.992371525 6.35297471875 inf
0.992371525 6.47992808125 inf
0.992371525 6.60688144375 inf
0.992371525 6.73383480625 inf
0.992371525 6.86078816875 inf
0.992371525 6.98774153125 inf
0.992371525 7.114694893749999 inf
0.992371525 7.2416482562499995 inf
0.992371525 7.36860161875 inf
0.992371525 7.49555498125 inf
0.992371525 7.62250834375 inf
0.992371525 7.74946170625 inf
0.992371525 7.876415068749999 inf
0.992371525 8.00336843125 inf
0.992371525 8.13032179375 inf
0.992371525 8.25727515625 inf
0.992371525 8.38422851875 inf
0.992371525 8.51118188125 inf
0.992371525 8.63813524375 inf
0.992371525 8.76508860625 inf
0.992371525 8.89204196875 inf
0.992371525 9.01899533125 inf
0.992371525 9.14594869375 inf
0.992371525 9.27290205625 inf
0.992371525 9.39985541875 inf
0.992371525 9.52680878125 inf
0.992371525 9.653762143749999 inf
0.992371525 9.780715506249999 inf
0.992371525 9.90766886875 inf
0.992371525 10.03462223125 inf
0.992371525 10.16157559375 inf
0.992371525 10.28852895625 inf
0.992371525 10.41548231875 inf
1.025162575 0.38616668125000003 inf
1.025162575 0.5131200437500001 inf
1.025162575 0.64007340625 inf
1.025162575 0.7670267687500001 inf
1.025162575 0.89398013125 inf
1.025162575 1.0209334937499999 inf
1.025162575 1.14788685625 inf
1.025162575 1.27484021875 22.091014772146377
1.025162575 1.4017935812500002 13.18336185130245
1.025162575 1.52874694375 7.103969530581139
1.025162575 1.65570030625 3.8623857967916453
1.025162575 1.78265366875 1.66025127173604
1.025162575 1.9096070312500002 -0.563648749316409
1.025162575 2.0365603937500003 -0.10155369115817273
1.025162575 2.16351375625 3.192643921487822
1.025162575 2.29046711875 1.5277890558823006
1.025162575 2.41742048125 -3.91901393308377
1.025162575 2.5443738437500003 -6.091158483730242
1.025162575 2.67132720625 -7.636676942883597
1.025162575 2.79828056875 0.7998630613683787
1.025162575 2.92523393125 inf
1.025162575 3.0521872937500003 inf
1.025162575 3.17914065625 inf
1.025162575 3.30609401875 inf
1.025162575 3.43304738125 inf
1.025162575 3.5600007437500003 inf
1.025162575 3.68695410625 inf
1.025162575 3.81390746875 inf
1.025162575 3.94086083125 inf
1.025162575 4.067814193749999 inf
1.025162575 4.1947675562499995 inf
1.025162575 4.32172091875 inf
1.025162575 4.44867428125 inf
1.025162575 4.57562764375 inf
1.025162575 4.70258100625 inf
1.025162575 4.82953436875 inf
1.025162575 4.95648773125 inf
1.025162575 5.083441093749999 inf
1.025162575 5.2103944562499995 inf
1.025162575 5.33734781875 inf
1.025162575 5.46430118125 inf
1.025162575 5.59125454375 inf
1.025162575 5.71820790625 inf
1.025162575 5.845161268749999 inf
1.025162575 5.972114631249999 inf
1.025162575 6.099067993749999 inf
1.025162575 6.2260213562499995 inf
1.025162575 6.35297471875 inf
1.025162575 6.47992808125 inf
1.025162575 6.60688144375 inf
1.025162575 6.73383480625 inf
1.025162575 6.86078816875 inf
1.025162575 6.98774153125 inf
1.025162575 7.114694893749999 inf
1.025162575 7.2416482562499995 inf
1.025162575 7.36860161875 inf
1.025162575 7.49555498125 inf
1.025162575 7.62250834375 inf
1.025162575 7.74946170625 inf
1.025162575 7.876415068749999 inf
1.025162575 8.00336843125 inf
1.025162575 8.13032179375 inf
1.025162575 8.25727515625 inf
1.025162575 8.38422851875 inf
1.025162575 8.51118188125 inf
1.025162575 8.63813524375 inf
1.025162575 8.76508860625 inf
1.025162575 8.89204196875 inf
1.025162575 9.01899533125 inf
1.025162575 9.14594869375 inf
1.025162575 9.27290205625 inf
1.025162575 9.39985541875 inf
1.025162575 9.52680878125 inf
1.025162575 9.653762143749999 inf
1.025162575 9.780715506249999 inf
1.025162575 9.90766886875 inf
1.025162575 10.03462223125 inf
1.025162575 10.16157559375 inf
1.025162575 10.28852895625 inf
1.025162575 10.41548231875 inf
1.0579536250000001 0.38616668125000003 inf
1.0579536250000001 0.5131200437500001 inf
1.0579536250000001 0.64007340625 inf
1.0579536250000001 0.7670267687500001 inf
1.0579536250000001 0.89398013125 inf
1.0579536250000001 1.0209334937499999 inf
1.0579536250000001 1.14788685625 20.293013166483657
1.0579536250000001 1.27484021875 20.293013166483657
1.0579536250000001 1.4017935812500002 15.245384508958942
1.0579536250000001 1.52874694375 9.738087974846902
1.0579536250000001 1.65570030625 5.903938918600446
1.0579536250000001 1.78265366875 3.5341988135325084
1.0579536250000001 1.9096070312500002 1.2427232024283403
1.0579536250000001 2.0365603937500003 0.7850624973730466
1.0579536250000001 2.16351375625 1.9595061706910875
1.0579536250000001 2.29046711875 -1.1189706083438198
1.0579536250000001 2.41742048125 -6.791449887050682
1.0579536250000001 2.5443738437500003 -9.254878239352337
1.0579536250000001 2.67132720625 -11.36407251068145
1.0579536250000001 2.79828056875 -3.7606951980745364
1.0579536250000001 2.92523393125 22.091014772146377
1.0579536250000001 3.0521872937500003 inf
1.0579536250000001 3.17914065625 inf
1.0579536250000001 3.30609401875 inf
1.0579536250000001 3.43304738125 inf
1.0579536250000001 3.5600007437500003 inf
1.0579536250000001 3.68695410625 inf
1.0579536250000001 3.81390746875 inf
1.0579536250000001 3.94086083125 inf
1.0579536250000001 4.067814193749999 inf
1.0579536250000001 4.1947675562499995 inf
1.0579536250000001 4.32172091875 inf
1.0579536250000001 4.44867428125 inf
1.0579536250000001 4.57562764375 inf
1.0579536250000001 4.70258100625 inf
1.0579536250000001 4.82953436875 inf
1.0579536250000001 4.95648773125 inf
1.0579536250000001 5.083441093749999 inf
1.0579536250000001 5.2103944562499995 inf
1.0579536250000001 5.33734781875 inf
1.0579536250000001 5.46430118125 inf
1.0579536250000001 5.59125454375 inf
1.0579536250000001 5.71820790625 inf
1.0579536250000001 5.845161268749999 inf
1.0579536250000001 5.972114631249999 inf
1.0579536250000001 6.099067993749999 inf
1.0579536250000001 6.2260213562499995 inf
1.0579536250000001 6.35297471875 inf
1.0579536250000001 6.47992808125 inf
1.0579536250000001 6.60688144375 inf
1.0579536250000001 6.73383480625 inf
1.0579536250000001 6.86078816875 inf
1.0579536250000001 6.98774153125 inf
1.0579536250000001 7.114694893749999 inf
1.0579536250000001 7.2416482562499995 inf
1.0579536250000001 7.36860161875 inf
1.0579536250000001 7.49555498125 inf
1.0579536250000001 7.62250834375 inf
1.0579536250000001 7.74946170625 inf
